epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2043,0.92791,0.95944,1.22893,0.74738,0.55838,0.63325,0.41309,1.55055,1.318,1.51779,0.000546086,0.000546086,0.000546086
2,17.9833,0.99311,0.94796,1.24247,0.63335,0.58864,0.59096,0.3722,1.56379,1.44034,1.53322,0.00107994,0.00107994,0.00107994
3,25.6732,1.03928,0.97848,1.2649,0.66017,0.56524,0.58568,0.37233,1.62083,1.59498,1.56903,0.00159179,0.00159179,0.00159179
4,33.3318,1.04571,0.96043,1.26096,0.74588,0.53811,0.58725,0.39373,1.61707,1.50986,1.57365,0.00156798,0.00156798,0.00156798
5,41.0669,1.06738,1.01254,1.2795,0.63642,0.5495,0.5547,0.3565,1.66765,2.05209,1.61296,0.00153497,0.00153497,0.00153497
6,48.6107,1.05805,1.01136,1.27908,0.65663,0.55165,0.56865,0.35325,1.62813,1.56229,1.59672,0.00150197,0.00150197,0.00150197
7,56.2618,1.05715,0.97709,1.26562,0.71992,0.51429,0.56627,0.35757,1.7102,1.5369,1.5767,0.00146896,0.00146896,0.00146896
8,63.8923,1.05802,1.0022,1.2633,0.75708,0.54406,0.62105,0.40787,1.55817,1.36677,1.4985,0.00143595,0.00143595,0.00143595
9,71.5171,1.04172,0.96857,1.25222,0.74515,0.53814,0.60821,0.39357,1.59094,1.42472,1.52761,0.00140295,0.00140295,0.00140295
10,79.0769,1.01367,0.94214,1.22536,0.72786,0.55407,0.60122,0.39301,1.58867,1.41551,1.53107,0.00136994,0.00136994,0.00136994
11,86.8441,1.01738,0.95684,1.24855,0.70968,0.54589,0.58886,0.38321,1.61507,1.53498,1.59263,0.00133693,0.00133693,0.00133693
12,94.4292,1.02974,0.96279,1.24776,0.6534,0.57231,0.58662,0.39424,1.63712,1.44561,1.56832,0.00130393,0.00130393,0.00130393
13,101.848,0.99798,0.9257,1.22884,0.67441,0.57144,0.60961,0.40542,1.57571,1.38886,1.54386,0.00127092,0.00127092,0.00127092
14,109.434,0.98834,0.90542,1.22403,0.75035,0.53567,0.59649,0.40235,1.60239,1.38635,1.53445,0.00123791,0.00123791,0.00123791
15,116.899,1.01374,0.93044,1.23997,0.67819,0.59174,0.62444,0.40801,1.56982,1.34516,1.5303,0.00120491,0.00120491,0.00120491
16,124.544,0.95386,0.90376,1.20841,0.67878,0.57089,0.61276,0.39963,1.6,1.41862,1.56424,0.0011719,0.0011719,0.0011719
17,132.264,0.94464,0.90211,1.19708,0.65926,0.56619,0.58972,0.3795,1.65398,1.44973,1.58082,0.00113889,0.00113889,0.00113889
18,139.683,0.95434,0.86447,1.19589,0.67312,0.58116,0.62243,0.42244,1.55031,1.35179,1.5157,0.00110589,0.00110589,0.00110589
19,147.154,0.97198,0.88357,1.20513,0.7463,0.557,0.61469,0.41714,1.54751,1.38072,1.52421,0.00107288,0.00107288,0.00107288
20,154.506,0.91854,0.83098,1.18253,0.74779,0.55863,0.62052,0.42268,1.52061,1.36833,1.50647,0.00103987,0.00103987,0.00103987
21,162.076,0.926,0.83472,1.16819,0.75128,0.5411,0.61921,0.41401,1.5659,1.35586,1.54018,0.00100687,0.00100687,0.00100687
22,169.618,0.89569,0.82398,1.1746,0.66989,0.57632,0.61969,0.41576,1.54176,1.34022,1.53651,0.000973861,0.000973861,0.000973861
23,177.45,0.92683,0.81741,1.17798,0.68437,0.59176,0.63019,0.41392,1.56632,1.36234,1.55947,0.000940855,0.000940855,0.000940855
24,184.985,0.90052,0.82817,1.16761,0.71652,0.57002,0.62243,0.41159,1.56166,1.40185,1.53079,0.000907848,0.000907848,0.000907848
25,192.425,0.88523,0.80479,1.16684,0.67734,0.59669,0.63233,0.42008,1.58072,1.31659,1.55383,0.000874842,0.000874842,0.000874842
26,200.107,0.89572,0.82041,1.1576,0.71267,0.58151,0.6366,0.42956,1.55275,1.32087,1.52851,0.000841835,0.000841835,0.000841835
27,207.605,0.89211,0.80787,1.15465,0.73958,0.56528,0.63819,0.42294,1.56264,1.32764,1.54082,0.000808828,0.000808828,0.000808828
28,215.182,0.87687,0.78811,1.14581,0.70497,0.57178,0.62106,0.41071,1.57246,1.38685,1.54913,0.000775822,0.000775822,0.000775822
29,222.695,0.85909,0.79314,1.14762,0.73761,0.55447,0.62871,0.4208,1.5453,1.3194,1.54297,0.000742815,0.000742815,0.000742815
30,230.16,0.85175,0.78332,1.1442,0.72064,0.57343,0.62527,0.41966,1.58909,1.34072,1.57184,0.000709809,0.000709809,0.000709809
31,237.805,0.84544,0.77175,1.13238,0.72184,0.55855,0.62947,0.42248,1.54691,1.34827,1.51905,0.000676802,0.000676802,0.000676802
32,245.404,0.83594,0.76359,1.1197,0.69901,0.58035,0.63237,0.41884,1.56615,1.28487,1.529,0.000643795,0.000643795,0.000643795
33,252.978,0.81907,0.73289,1.12267,0.64231,0.6126,0.63003,0.41033,1.56273,1.30402,1.53371,0.000610789,0.000610789,0.000610789
34,260.627,0.82982,0.72655,1.11806,0.64268,0.61108,0.63308,0.42277,1.5454,1.29766,1.52928,0.000577782,0.000577782,0.000577782
35,268.087,0.81514,0.74373,1.11128,0.63472,0.62871,0.64427,0.42661,1.52497,1.28703,1.52176,0.000544776,0.000544776,0.000544776
36,275.91,0.83343,0.73901,1.12357,0.67083,0.61544,0.6367,0.41029,1.55724,1.3038,1.54875,0.000511769,0.000511769,0.000511769
37,283.295,0.81236,0.72457,1.11552,0.75354,0.567,0.64538,0.42375,1.54703,1.32172,1.52344,0.000478762,0.000478762,0.000478762
38,290.902,0.81767,0.70883,1.10151,0.74801,0.57899,0.64434,0.42995,1.5318,1.28369,1.51445,0.000445756,0.000445756,0.000445756
39,298.445,0.8056,0.71382,1.10993,0.69946,0.58933,0.6384,0.43049,1.54335,1.29881,1.52127,0.000412749,0.000412749,0.000412749
40,305.867,0.77336,0.70134,1.08864,0.6801,0.60417,0.64218,0.42869,1.53293,1.2948,1.5291,0.000379743,0.000379743,0.000379743
41,314.712,0.77997,0.70783,1.09952,0.72974,0.57602,0.64064,0.42809,1.5358,1.28562,1.52876,0.000346736,0.000346736,0.000346736
42,322.252,0.76973,0.68599,1.0925,0.73442,0.56477,0.64048,0.42707,1.54063,1.28313,1.53486,0.000313729,0.000313729,0.000313729
43,329.754,0.75916,0.69687,1.0847,0.67469,0.60783,0.63528,0.42596,1.54806,1.29484,1.54891,0.000280723,0.000280723,0.000280723
44,337.399,0.7472,0.67953,1.08074,0.72745,0.57557,0.6455,0.43455,1.53757,1.27035,1.53279,0.000247716,0.000247716,0.000247716
45,345.05,0.7566,0.66991,1.08503,0.72327,0.58345,0.65146,0.43603,1.55722,1.27252,1.54934,0.00021471,0.00021471,0.00021471
46,352.704,0.7509,0.67552,1.08456,0.71842,0.59046,0.64941,0.43287,1.54516,1.27508,1.54581,0.000181703,0.000181703,0.000181703
47,360.478,0.74804,0.67482,1.07212,0.75596,0.57646,0.64643,0.43776,1.52912,1.27356,1.54253,0.000148696,0.000148696,0.000148696
48,368.067,0.71805,0.65664,1.06745,0.68331,0.59722,0.64685,0.4324,1.54573,1.28117,1.55357,0.00011569,0.00011569,0.00011569
49,375.745,0.73265,0.66836,1.07115,0.71846,0.58656,0.64721,0.43085,1.54084,1.27829,1.54657,8.26832e-05,8.26832e-05,8.26832e-05
50,383.177,0.72707,0.6486,1.067,0.70522,0.59329,0.64761,0.43379,1.5347,1.27776,1.54374,4.96766e-05,4.96766e-05,4.96766e-05
